ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     0.0.1             12.58     17/05/2021    0         000
2     0.0.2             1.980     21/09/2021    5732      601EE774640EC1242D3C7356EF8DB035
3     0.0.3             2.703     21/09/2021    5732      82C327EB9DF6CA684B491FD833003F9C
4     0.0.4             1.964     26/09/2021    5744      8761C2FBFE00BB6AAA67968D2030D636
5     0.0.5             2.025     27/09/2021    5824      6613CB807F076AE488D2960A0B1E4815
6     0.0.6             2.040     02/10/2021    5790      746695E9D1ED1B7268E6D96ED0F2C9C3
7     0.0.7             2.404     06/10/2021    5816      6FBDCED330A0AC53B6D05A3486B078D2
8     0.0.8             2.127     06/10/2021    5818      55922A735BECDCC503D12E6EA5E85214
9     0.0.9             2.215     08/10/2021    5820      C647A8FA3F567F3A2275A4E97090B8B0
10    0.1.0             2.164     13/10/2021    6061      D3E60E5C71F0777CC33234D43FFB67C1
11    0.1.0-1           2.359     13/10/2021    6061      B80690E3DBE054CA9024604A2D27169B
12    0.1.1             2.790     25/10/2021    6068      6D68E58ABCFDCEF3C50A91C517A1FC18
13    0.1.1-1           2.253     25/10/2021    6068      FE07E1CFFBA6EE38CBD747BADB482629
14    0.1.2             2.092     26/10/2021    6071      38BBFC38F803AB48ED60C89D9C7EA72B
15    0.1.3             2.110     26/10/2021    6023      7EE8C0E6BAD69CADEE24E65B2725D6EA
16    0.1.3-1           2.288     26/10/2021    6023      9D0D3F90A3018B67C3E5B21430DCD35B
17    0.1.4             2.171     31/10/2021    6777      469A17B89F18F4CBCCDB6C3F4216D8BF
18    0.1.4-1           2.124     31/10/2021    6791      E453378590F7FBC19B86D2CB788177F3
19    1.0.0             2.809     05/11/2021    6791      F42946A8E4A6B7C78F2823A3C980B9CC
20    1.0.0-1           2.218     05/11/2021    6797      E0F8386C22DE913181AA6E33285AA13C
21    1.0.0-2           2.278     05/11/2021    6797      91FDD97CCEF0D1CD9BCF10A22D79D706
22    1.0.0-3           2.283     05/11/2021    6797      574D05B0C73DCBA8AE605A958AFD2C3E
23    1.0.1             2.093     22/11/2021    6803      A5802E92A32FA33773AA622BF4FA93E3
24    1.0.2             2.527     23/11/2021    6802      1FD773B36749DD5C24DF8DEAA3B3C8F0
25    1.0.3             2.323     26/11/2021    6813      51B23FA176E865E4AEC40F067FEF18F7
26    1.0.4             2.090     05/12/2021    6813      9AA09CDEE7DDCD2B19E6AC949065B21D
27    1.0.5             2.389     24/12/2021    6824      37E6C9C57A4C9224E5E26824B5FB26F4
28    1.0.6             2.115     10/01/2022    6840      56ABFC2033D29FC6A8846B3AC7E62659
29    1.0.7             7.196     19/03/2022    6872      19E6367C870615135481CD2D0C963B69
30    1.0.7-1           6.952     19/03/2022    6872      827074896A02EB33371BC035FD72917C
31    1.0.7-2           7.216     19/03/2022    6855      76A7DE4376A9022CA70EA2A0A931B363
32    1.0.7-3           8.178     19/03/2022    6818      D9A1E7EB89260734A654D51402887857
33    1.0.7-4           7.531     19/03/2022    6817      11C63804B19F57E26D672865FF50C103
34    1.0.8             7.670     09/04/2022    7100      BC277553CD9B0B403E7991BC14C6FC58
35    1.0.8-1           7.292     09/04/2022    7102      A190DBBD156C116722C8594AB0B5F1A0
36    1.0.8-2           7.955     09/04/2022    7102      ABB26F0855963460AFAD84292D1BD887
37    1.0.8-3           7.461     09/04/2022    7053      72434620853D10B1F097EBDE06347FF5
38    1.0.9             6.912     17/04/2022    7092      CF2BD5BB72083C16D8CA3FB51D530360
39    1.0.9-1           8.187     17/04/2022    7094      15D9F5AEEEE6EBC207B2B6B36257BB13
40    1.0.9-2           7.534     17/04/2022    7087      FF3954881E0FD19996DA5EA0BA022573
41    1.0.9-3           7.356     17/04/2022    7087      29B13C6B7D2A51F7E62AF43EF0063706
42    1.0.9-4           7.751     17/04/2022    7087      91E6E266AE751F836502B2EC1D10172F
43    1.0.9-5           6.843     17/04/2022    7087      5F662514BA0E1BF4E8BC9E4AFA26A324
44    1.0.9-6           7.050     18/04/2022    7087      2D645216661491FAA73A6B20A9A5188B
45    1.1.0             6.714     25/04/2022    7100      3976853B5E51D1470CEDFA53FCCAB483
46    1.1.1             4.675     09/06/2022    7103      69FEB09EFACAFA22BFA8D8DA69A79CDC
47    1.1.2             4.622     12/06/2022    7105      5383327F531AECC53A27325E78FCA062
48    1.1.2-1           4.562     12/06/2022    7105      0DCC7E2EB1E5218BD064CBBF2F81BF04
49    1.1.3             4.898     12/01/2023    7105      777EDC3974882FE3E4783FFD22A4C1D4
50    1.1.4             4.985     06/03/2023    7105      73B56611A88C33CCEB66ECA891DB1A16
51    1.1.5             4.871     10/03/2023    7105      5D98B34D211772EFEC0E8B20FFE8F23C
52    1.1.6             4.703     11/03/2023    7105      1C1DD20D973509446851321FC0FA092D
53    1.1.6-1           6.106     11/03/2023    7121      706B5D53AA8B5E68D64AACD215B3C02B
54    1.1.7             5.403     12/03/2023    7121      B6CDF0407BB981693CA8D10C8D8EC1DF
55    1.1.8             4.722     29/04/2023    7133      63054C48D5CA39020B87ACD54718CF87
56    1.1.8-1           4.833     29/04/2023    7125      A4F97640EE5305AD2712680A239AC13F
57    1.1.9             4.209     01/06/2023    7117      1C0E9A787B072478644A7F3EF520413A
58    1.2.0             3.177     06/07/2023    7117      605D4BCABF4BE9C567D1E93E6DDB36B3
59    1.2.0-1           3.437     06/07/2023    7117      087B69BDC74AA6EFFCC3BAD1F3F6FFA4
60    1.2.0-2           3.130     06/07/2023    7117      3A259F7735399BA16EB07AA7C4FD392A
61    1.2.1             3.406     26/10/2023    6118      1BA0F643F34989999B667B091BF9EFC9
62    1.2.2             3.856     29/10/2023    6119      BD8619E0BA53558C0B0FCACA77A9BE35
63    1.2.2-1           3.536     29/10/2023    6117      7C687B5EC2D0F78EDF27F7A130B62776
64    1.2.3             3.311     04/11/2023    6098      E79F25BC9302AF6E3DEBFE4BEB099445
