ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     0.0.1             1.840     22/09/2017    450       F163819E06D48955774DA552125903ED
2     0.0.2             1.390     22/09/2017    226       1A8AAA6354D0A9720A6C5BBD1E9300C6
3     0.0.3             1.380     22/09/2017    226       B209527DF6DCE043A85C89DA308E894C
4     0.0.4             1.407     22/09/2017    225       D44DCCCA9E84FF7C542AAAB1A270E655
5     0.0.5             1.361     22/09/2017    225       64EE9009F3AC7605CD056DA80FBE12C6
6     0.0.6             1.611     22/09/2017    278       F40FD3113E062A3AD331A1B4B8F2AB8D
7     0.0.7             1.629     22/09/2017    396       753BFDA3EF1CF43D503712D40B0196DC
8     0.0.8             1.887     22/09/2017    434       0AEB611A6C7A623387E89D56FF2BDF73
9     0.0.9             2.543     22/09/2017    611       58B1084391EE48DA64A72D1515D6BDCF
10    1.0.0             3.247     23/09/2017    759       662CC0C08118451EFC2F5AF976E60307
11    1.0.0-1           2.551     23/09/2017    759       5C0F1371B9444D9E828FA91F7C64A624
12    1.0.0-2           2.595     23/09/2017    748       17F1B9A2F9BABE46641D32D52F6933FF
13    1.0.0-3           2.353     23/09/2017    763       125F790AB86DB6A8CD829CDE9F904CCA
14    1.0.0-4           3.019     23/09/2017    763       A058209E6B43CC333D2A5A49CD64CE51
15    1.0.0-5           2.665     23/09/2017    761       10C53BC5D43D6B46DAF0C082A53C947F
16    1.0.0-6           2.617     23/09/2017    763       CF769F9BCCD1FB881AFF5FC17AEEC11B
17    1.0.0-7           2.659     23/09/2017    763       C61808BDCCD40C550B975AFE09D39F23
18    1.0.0-8           2.638     23/09/2017    763       15E0E4AE11CD8DCB6EC83089B2E34256
19    1.0.0-9           1.649     23/09/2017    763       87EF18B2236D4F524BECB4B66E1A9BB4
20    1.0.1             2.630     23/09/2017    763       02A55253E0D8468BA521AE446BCA92F5
21    1.0.1-1           2.626     23/09/2017    763       9F80C6952140D84D4FF16BE9F8FC42D3
