ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     0.0.1             5.228     19/08/2019    5455      3D45C7B0878F36837178273F16246240
2     0.0.2             4.889     19/08/2019    5455      D1F2D17983E16E7D4225DC35530B1D65
3     0.0.3             4.971     19/08/2019    5455      C557FC7E8AB62B2BB6CBFADED52F50B5
4     0.0.4             5.212     19/08/2019    5461      EFBBE3373FB5CC47B4847BB208BBE197
5     0.0.5             5.465     19/08/2019    5491      81AD1A6370409D9753176D09B7D07F33
6     0.0.6             5.185     19/08/2019    5482      D2179236BCF9C3E69E5793DB14BD3716
7     0.0.7             5.383     19/08/2019    5480      DBF3A44244297441FBD14D6FE0D7D133
8     0.0.8             5.710     19/08/2019    5471      EE1A563640F43ED2EE43AD47DADF1F1C
9     0.0.9             5.850     19/08/2019    5471      17EFE9F40C3B5F45EC6AF61575409497
10    0.1.0             5.620     19/08/2019    5471      CCFA3279CFE3DD6B4CAB9D0C02B5C551
11    0.1.1             5.373     19/08/2019    5471      0C14955584E3A5173E49C3F148AF0F5C
12    0.1.2             5.736     19/08/2019    5479      83B77B56756223CF338EEF5B19F24FE4
13    0.1.3             5.176     19/08/2019    5478      A31CF72A44FBF00D2284D92F43C400E2
14    0.1.4             5.807     19/08/2019    5476      F6CDAE18F84114003D339B0051214416
15    0.1.5             5.076     19/08/2019    5476      746A2E9A81025E95B6D377BA3F632CEB
16    1.0.0             5.713     19/08/2019    5476      8C0E504953C7918C4DDBA5D90DCB694D
17    1.0.1             4.922     20/08/2019    5476      AE200B7E82D79D3CE9AC61BB76ADAFD7
18    1.0.2             6.009     20/08/2019    5476      78B055E813B75C5EC4A394CC1705F6B6
19    1.0.3             4.967     20/08/2019    5465      4994A9A3FD754EDC0BEA24AB7F09A0B6
20    1.0.4             4.641     20/08/2019    5465      C1C31A819006AE3539E319E20EC6EB09
21    1.0.4-1           4.847     20/08/2019    5465      FB6BAE3F22E2E85947B3C0F473AC874B
22    1.0.4-2           4.652     20/08/2019    5465      4D3E43C363CBD55A7593D64E55B8DACF
23    1.0.5             4.569     20/08/2019    5465      9582C98A3221FF6B305BE34354C233B9
24    1.0.6             5.703     20/08/2019    5476      C2450BBA0B568B77CB2FA598FB97EB41
25    1.0.7             5.694     20/08/2019    5475      085CC0345060CAB42EEECF01CF68188D
26    1.1.0             5.774     20/08/2019    5475      A0139FF01DC32CCA8DADAE44FA3D77AA
27    1.1.0-1           5.313     20/08/2019    5475      033130D2E4AC536B750CD713FC1633F3
28    1.1.0-2           5.106     20/08/2019    5475      527C199995BD6ADE6DCBBAB62F740765
29    1.1.0-3           4.944     20/08/2019    5476      75845E1F052B620A34D09BBCEB55E89E
30    1.1.0-4           3.286     20/08/2019    5473      64418BFB795B7304C4632F075E7A67EB
31    1.1.0-5           3.313     20/08/2019    5473      52E4BD1FBF75E255BCBD6302949362AC
32    1.1.0-6           5.086     20/08/2019    5476      3EE0A8196A41CC832FEAB6718E01CA9E
33    1.1.0-7           4.942     20/08/2019    5475      FF45FC516CC1F7B0645177CCF2C58CC0
34    1.1.1             4.634     20/08/2019    5475      4F952592B2DDA4317232BE19D9405745
35    1.1.2             4.814     23/08/2019    5558      574F78BC5087EE2316BCDB8EB02DF58F
36    1.1.3             4.928     27/08/2019    5593      D54F43A5AF3C337195FB3CA6808D7475
37    1.1.4             5.518     02/09/2019    5731      3FED8BA805057DE228463001A1652E19
38    1.1.4-1           6.184     02/09/2019    5731      EB13A70E7B7744D03FDAFCBFF5A6486D
39    1.1.4-2           5.411     02/09/2019    5733      B7734E95898CC1A43E04D122543BD65A
40    1.1.5             5.480     02/09/2019    5733      E2D80A727B875340D94A6ACB1C1084B1
41    1.1.5-1           5.362     02/09/2019    5733      818C49C28981981C4C72234844197765
42    1.1.6             4.754     03/09/2019    5741      5E0A132F3015FEC86F222360AA79443F
43    1.1.7             5.632     04/09/2019    5741      28CCC72393E5E0FAE4A3FE9731D20EAE
44    1.1.7-1           5.465     04/09/2019    5785      D318750CFD3CEDE69773E7CE604B4936
45    1.1.7-2           4.854     04/09/2019    5796      04FF29E2EE5BBDE939DA855F23268744
46    1.1.8             5.857     17/09/2019    5854      A37BECD0871808E4638909CE44FA11AB
47    1.1.9             5.388     19/09/2019    5856      6079530DA8A5584A8899AE05CA7D0D2C
48    1.2.0             6.112     02/10/2019    5754      43110889730E05E45DEA03F3C62923EA
49    1.2.1             5.625     18/11/2019    5758      545174C6C8858117ADF212EC6BCD40F3
50    1.2.2             6.825     20/11/2019    5773      36F8A777C91F381AF48BD00C98117348
