ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     0.0.1             5.375     20/08/2019    5918      DAC9A9C9BE7448B096321FA390B9DAE3
2     0.0.2             5.322     20/08/2019    5890      BA6F3A62094F049620EC8830F6BDC544
3     0.0.3             4.938     20/08/2019    5890      904004E595755B9371323D9E4177895B
4     0.0.4             5.263     21/08/2019    5891      2AC618215A43A059245A8DC932B38329
5     0.0.5             5.023     21/08/2019    5945      6725652B0774A2E5573EF242842495CF
6     0.0.6             5.455     21/08/2019    5954      9FE0F1A3A805E6C7CBD4185DF8FADEBA
7     0.1.0             4.868     21/08/2019    5944      EDBE71D57416CA438A2F2401FA85843B
8     0.1.1             4.887     21/08/2019    5952      E13B6355C15806BF06EC70EFACAB8666
9     0.1.2             4.836     21/08/2019    5952      A5A0145B2C05AAF6AB2AE00C42EB0AE4
10    0.1.3             5.089     21/08/2019    5952      CF7CBFBAF3CC4B587C463246711AF980
11    0.1.4             5.851     22/08/2019    5928      098EE9AACE8DA6630891A0462B15151A
12    0.1.4-1           5.625     22/08/2019    5929      6FBB2EDA389F42564CC34E96BE36EA92
13    0.1.5             4.723     22/08/2019    5966      566A10809CADBF5D9926BA73D47C360B
14    0.1.6             4.572     22/08/2019    5978      5BF49BC011D89F86015E554BA02C0748
15    0.1.7             5.180     22/08/2019    6002      5AA58D4E0818F60884067CF53E3CA1DD
16    0.1.8             4.875     22/08/2019    5992      60BAE05D2D36E2A18C660A3203F475F6
17    0.1.9             4.960     23/08/2019    6016      D6CDBA99B4EF1849280371A54E4B036B
18    0.2.0             5.213     23/08/2019    6015      EF2AF36F79CE29CF972960F3F392A1C2
19    0.2.1             5.335     23/08/2019    6015      A5D321DA3E1B56DD9957FBB4C0AD391C
20    0.2.2             4.825     23/08/2019    6015      9848B0BF61C30BD2AA9EA37132BD4312
21    0.2.3             4.714     23/08/2019    6027      7E127CB4605CE3C1BB11070233F4D248
22    0.3.0             4.901     23/08/2019    6030      D532910D0C60B696FD60A77ABF281926
23    0.3.1             4.829     23/08/2019    6035      417D708449D3FE20CFB990F24988E369
24    0.3.2             4.818     23/08/2019    6035      A2688FAB5B854DF479C230B2FFB01752
25    1.0.0             4.740     23/08/2019    6035      963128D83A2295B4CEA3765FCD39495A
26    1.0.1             5.450     26/08/2019    6036      DCFD43242EB7EFFAF6238A83810A039A
27    1.0.2             4.766     27/08/2019    6055      E0D2CC04A3CB10AF3EB6ED36A0FED472
28    1.0.2-1           5.446     27/08/2019    6055      4A447DCF375757DAB641B09216A9561A
29    1.0.3             5.059     27/08/2019    6055      CDCB7379F43E031251C126EC4754ED8F
30    1.0.4             4.804     27/08/2019    6055      F45B585636BAE474841A18B5E1608A2D
31    1.0.5             4.801     27/08/2019    6055      185E2AF5BDD8A26F725F94C4537784FB
32    1.0.5-1           4.828     27/08/2019    6055      ADD4F28244C2FB7DB7D4F6B06CED74ED
